state,craft_beer_search,clinton_per,trump_per,who_won,region
Alabama,30.0,34.7,62.7,Trump,south
Alaska,17.0,37.6,52.8,Trump,west
Arizona,32.0,45.5,49.0,Trump,south west
Arkansas,28.0,33.7,60.6,Trump,south
California,38.0,62.3,31.9,Clinton,west
Colorado,50.0,48.2,43.3,Clinton,plains
Connecticut,52.0,54.7,41.0,Clinton,north east
Delaware,53.0,53.4,41.9,Clinton,atlantic
Florida,46.0,47.8,49.9,Trump,south
Georgia,34.0,45.9,51.0,Trump,south
Hawaii,26.0,62.2,30.0,Clinton,west
Idaho,22.0,27.5,59.3,Trump,plains
Illinois,57.0,56.0,38.9,Clinton,midwest
Indiana,41.0,37.9,57.2,Trump,midwest
Iowa,42.0,42.2,51.7,Trump,midwest
Kansas,27.0,36.3,57.0,Trump,plains
Kentucky,38.0,32.7,62.5,Trump,south
Louisiana,25.0,38.4,58.1,Trump,south
Maine,49.0,48.0,45.0,Clinton,north east
Maryland,42.0,61.3,34.5,Clinton,atlantic
Massachusetts,78.0,61.0,33.3,Clinton,north east
Michigan,45.0,47.4,47.6,Trump,rust
Minnesota,49.0,46.9,45.3,Clinton,rust
Mississippi,28.0,40.1,57.9,Trump,south
Missouri,41.0,38.2,56.9,Trump,south
Montana,33.0,35.9,56.5,Trump,plains
Nebraska,33.0,34.4,59.9,Trump,plains
Nevada,32.0,47.9,45.5,Clinton,west
New Hampshire,81.0,47.6,47.2,Clinton,north east
New Jersey,49.0,55.5,41.4,Clinton,atlantic
New Mexico,25.0,48.3,40.0,Clinton,south west
New York,52.0,59.5,36.8,Clinton,atlantic
North Carolina,45.0,46.8,50.5,Trump,south
North Dakota,20.0,27.7,64.1,Trump,plains
Ohio,45.0,43.7,51.8,Trump,rust
Oklahoma,32.0,28.9,65.3,Trump,plains
Oregon,32.0,52.0,40.6,Clinton,west
Pennsylvania,63.0,47.9,48.6,Trump,rust
Rhode Island,62.0,55.5,39.7,Clinton,north east
South Carolina,52.0,40.7,54.9,Trump,south
South Dakota,23.0,31.7,61.5,Trump,plains
Tennessee,41.0,34.9,61.1,Trump,south
Texas,32.0,43.5,52.5,Trump,south
Utah,12.0,27.5,45.5,Trump,plains
Vermont,100.0,61.1,32.6,Clinton,north east
Virginia,39.0,50.2,44.8,Clinton,south
Washington,27.0,54.3,38.1,Clinton,west
West Virginia,40.0,26.5,68.6,Trump,south
Wisconsin,49.0,47.0,47.8,Trump,rust
Wyoming,nan,22.5,70.1,Trump,plains
